Compounds_ID	Metabolite	KEGG	HMDB		Chemical Class	Pathway
nRPLC_299.2228_9.3	MG(14:1)(2)		HMDB11531		Lipid	Monoacylglycerol
nRPLC_299.2227_9.9	MG(14:1)(3)		HMDB11531		Lipid	Monoacylglycerol
nRPLC_315.2541_9.4	MG(15:0)(1)		HMDB11532		Lipid	Monoacylglycerol
nRPLC_315.2541_9.2	MG(15:0)(2)		HMDB11532		Lipid	Monoacylglycerol
nRPLC_315.2539_9.7	MG(15:0)(3)		HMDB11532		Lipid	Monoacylglycerol
nRPLC_327.2538_10.5	MG(16:1)		HMDB11534		Lipid	Monoacylglycerol
pRPLC_359.3154_11	MG(18:0)		HMDB11131		Lipid	Monoacylglycerol
nRPLC_355.2852_11	MG(18:1)		HMDB11536		Lipid	Monoacylglycerol
nRPLC_351.254_10.3	MG(18:3)		HMDB11539		Lipid	Monoacylglycerol
nRPLC_385.332_10.8	MG(20:0)		HMDB11542		Lipid	Monoacylglycerol
nRPLC_377.2696_10.5	MG(20:4)(1)		HMDB04666		Lipid	Monoacylglycerol
nRPLC_377.2698_9.2	MG(20:4)(2)		HMDB04666		Lipid	Monoacylglycerol
nRPLC_375.254_10.2	MG(20:5)		HMDB11550		Lipid	Monoacylglycerol
nRPLC_409.3322_11.2	MG(22:2)		HMDB11553		Lipid	Monoacylglycerol
nRPLC_441.3947_11.3	MG(24:0)(1)		HMDB11558		Lipid	Monoacylglycerol
nRPLC_441.395_11.2	MG(24:0)(2)		HMDB11558		Lipid	Monoacylglycerol
nRPLC_439.3792_11.1	MG(24:1)		HMDB11559		Lipid	Monoacylglycerol
pHILIC_280.1384_8	N-(1-Deoxy-1-fructosyl)valine		HMDB37844		Amino Acid	"Leucine, Isoleucine and Valine Metabolism"
pRPLC_153.0658_1.2	N1-Methyl-2-pyridone-5-carboxamide(1)	C05842	HMDB04193		Cofactors and Vitamins	Nicotinate and Nicotinamide Metabolism
pRPLC_153.0658_1.7	N1-Methyl-2-pyridone-5-carboxamide(2)	C05842	HMDB04193		Cofactors and Vitamins	Nicotinate and Nicotinamide Metabolism
pHILIC_282.119_6.7	N1-methyladenosine	C02494	HMDB03331		Nucleotide	"Purine Metabolism, Adenine containing"
pHILIC_189.1233_8.4	N6-Acetyl-L-lysine	C02727	HMDB00206		Amino Acid	Lysine Metabolism
nRPLC_411.127_3.6	N6-Carbamoyl-L-threonyladenosine		HMDB41623		Nucleotide	"Purine Metabolism, Adenine containing"
nRPLC_172.098_2.8	N-Acetylleucine|N-Acetylisoleucine	|C02710	HMDB11756|HMDB61684		Amino Acid	"Leucine, Isoleucine and Valine Metabolism"
nRPLC_206.0821_3.4	N-Acetyl-L-phenylalanine	C03519	HMDB00512		Amino Acid	Phenylalanine Metabolism
nHILIC_146.0458_7.6	N-Acetylserine		HMDB02931		Amino Acid	"Glycine, Serine and Threonine Metabolism"
pHILIC_161.1283_16.4	Ne-Methyl-Lysine	C02728	HMDB02038		Amino Acid	Lysine Metabolism
nHILIC_176.0387_4.9	N-formylmethionine	C03145	HMDB01015		Amino Acid	"Methionine, Cysteine, SAM and Taurine Metabolism"
pHILIC_133.097_16.1	Ornithine	C00077	HMDB03374		Amino Acid	Urea cycle; Arginine and Proline Metabolism
nHILIC_287.052_8.1	Orotidine	C01103	HMDB00788		Nucleotide	"Pyrimidine Metabolism, Orotate containing"
nHILIC_88.988_11	Oxalate (ethanedioate)	C00209	HMDB02329		Cofactors and Vitamins	Ascorbate and Aldarate Metabolism
nRPLC_312.2546_10.4	Palmitoylglycine		HMDB13034		Lipid	Fatty Acid Metabolism(Acyl Glycine)
nHILIC_218.1032_6.5	Pantothenic acid	C00864	HMDB00210		Cofactors and Vitamins	Pantothenate and CoA Metabolism
pRPLC_181.0718_3.1	Paraxanthine	C13747	HMDB01860		Xenobiotics	Xanthine Metabolism
nRPLC_283.0822_2.4	p-Cresol glucuronide		HMDB11686		Amino Acid	Tyrosine Metabolism
nRPLC_187.007_2.3	p-Cresol sulfate		HMDB0011635		Amino Acid	Tyrosine Metabolism
nRPLC_172.9914_0.9	Phenol sulphate	C00850	HMDB60015		Amino Acid	Tyrosine Metabolism
pRPLC_313.1548_3.5	Phenylalanylphenylalanine		HMDB13302		Peptide	Dipeptide
pRPLC_352.1657_3.7	Phenylalanyl-Tryptophan		HMDB29006		Peptide	Dipeptide
nRPLC_163.0765_7.4	Phenylbutyric acid		HMDB00329		Xenobiotics	Benzoate Metabolism
nRPLC_165.0556_2.3	Phenyllactate (PLA)	C05607	HMDB00779		Amino Acid	Phenylalanine Metabolism
nHILIC_163.04_1.4	Phenylpyruvic acid	C00166	HMDB00205		Amino Acid	Phenylalanine Metabolism
pHILIC_130.0862_7.6	Pipecolic acid	C00408	HMDB00070		Amino Acid	Lysine Metabolism
pRPLC_286.1439_8.5	Piperine(1)	C03882	HMDB29377		Xenobiotics	Food Component/Plant
pRPLC_286.1439_8.4	Piperine(2)	C03882	HMDB29377		Xenobiotics	Food Component/Plant
nRPLC_495.2962_9.1	Pregnanediol-3-glucuronide	C03033	HMDB10318		Lipid	Progestin Steroids
nRPLC_395.1897_10	Pregnenolone sulfate		HMDB00774		Lipid	Progestin Steroids
pHILIC_219.0795_5	Pro-Cys or Cys-Pro	||	HMDB28783|HMDB29014|		Peptide	Dipeptide
pHILIC_229.1181_10.9	pro-hydroxy-pro(1)		HMDB06695		Amino Acid	Urea cycle; Arginine and Proline Metabolism
pHILIC_229.1181_10.5	pro-hydroxy-pro(2)		HMDB06695		Amino Acid	Urea cycle; Arginine and Proline Metabolism
pHILIC_144.1018_6.7	Proline betaine	C10172	HMDB04827		Xenobiotics	Food Component/Plant
pRPLC_676.417_10.7	PS(28:2)		HMDB12342			
nHILIC_243.0621_5.8	Pseudouridine	C02067	HMDB00767		Nucleotide	"Pyrimidine Metabolism, Uracil containing"
nRPLC_182.0458_1	Pyridoxic acid	C00847	HMDB00017		Cofactors and Vitamins	Vitamin B6 Metabolism
nHILIC_87.0087_4.4	Pyruvic acid		HMDB0000243		Carbohydrate	"Glycolysis, Gluconeogenesis, and Pyruvate Metabolism"
nHILIC_191.0561_8.5	Quinic acid	C06746	HMDB03072		Xenobiotics	Food Component/Plant
pRPLC_269.2264_10.4	Retinol (Vitamin A)	C00473	HMDB00305		Cofactors and Vitamins	Vitamin A Metabolism
pRPLC_647.5116_11.7	SM(d18:1/12:0)	C00550	HMDB12096			
pRPLC_675.5429_12.6	SM(d18:1/14:0)		HMDB12097			
pHILIC_703.5724_5.7	SM(d18:1/16:0)	C00550	HMDB13464			
pHILIC_731.6033_5.7	SM(d18:1/18:0)	C00550	HMDB12088			
pHILIC_785.6497_5.6	SM(d18:1/22:1)	C00550	HMDB12104			
pHILIC_813.6806_5.6	SM(d18:1/24:1)	C00550	HMDB12107			
nHILIC_214.0488_7.2	sn-glycero-3-Phosphoethanolamine	C01233	HMDB00114		Lipid	Phospholipid Metabolism
pHILIC_302.3046_1.8	Sphinganine	C00836	HMDB00269		Lipid	Sphingolipid Metabolism
pRPLC_382.2719_9.6	Sphinganine 1-phosphate	C01120	HMDB01383		Lipid	Sphingolipid Metabolism
nRPLC_455.2472_11	Sulfolithocholic acid		HMDB00907		Lipid	Secondary Bile Acid Metabolism
nRPLC_512.2683_10.8	Sulfolithocholylglycine	C11301	HMDB02639		Lipid	Secondary Bile Acid Metabolism
pHILIC_203.1501_13.6	Symmetric dimethylarginine	C03626	HMDB01539		Amino Acid	Urea cycle; Arginine and Proline Metabolism
nHILIC_124.0073_8.7	Taurine	C00245	HMDB00251		Amino Acid	"Methionine, Cysteine, SAM and Taurine Metabolism"
nRPLC_514.2838_9.6	Taurocholic acid(1)	C05122	HMDB00036		Lipid	Primary Bile Acid Metabolism
nRPLC_514.2853_8.8	Taurocholic acid(2)	C05122	HMDB00036		Lipid	Primary Bile Acid Metabolism
nRPLC_498.2892_10.3	Tauroursodeoxycholic acid		HMDB00874		Lipid	Secondary Bile Acid Metabolism
nRPLC_539.2494_7	Tetrahydroaldosterone-3-glucuronide(1)		HMDB10357		Lipid	Androgenic Steroids
nRPLC_539.2489_8.8	Tetrahydroaldosterone-3-glucuronide(2)		HMDB10357		Lipid	Androgenic Steroids
nRPLC_365.2333_9.7	Tetrahydrocortisol	C05472	HMDB00949		Lipid	Androgenic Steroids
pRPLC_181.0719_3.4	Theophylline		HMDB0001889		Xenobiotics	Xanthine Metabolism
nHILIC_135.0299_7.9	Threonic acid	C01620	HMDB00943		Cofactors and Vitamins	Ascorbate and Aldarate Metabolism
pRPLC_777.6945_7.2	Thyroxine	C01829	HMDB01918		Amino Acid	Tyrosine Metabolism
pHILIC_247.1437_5.3	Tryptophan betaine	C09213	HMDB61115		Amino Acid	Tryptophan Metabolism
nHILIC_111.0199_3.4	Uracil	C00106	HMDB00300		Nucleotide	"Pyrimidine Metabolism, Uracil containing"
nHILIC_335.0495_8.3	Uric acid	C00366	HMDB00289		Nucleotide	"Purine Metabolism, (Hypo)Xanthine/Inosine containing"
nHILIC_243.0621_3.4	Uridine	C00299	HMDB00296		Nucleotide	"Pyrimidine Metabolism, Uracil containing"
pHILIC_139.0501_7.6	Urocanic acid	C00785	HMDB00301		Amino Acid	Histidine Metabolism
nHILIC_151.0261_4.3	Xanthine	C00385	HMDB00292		Nucleotide	"Purine Metabolism, (Hypo)Xanthine/Inosine containing"
