System Code	Identifier	logFC	P.Value	adj.P.Val
H	SELL	0.062459303	0.550022538	0.936796254
H	C1S	0.029701443	0.5508152	0.936796254
H	IGHA1	-0.100731549	0.552048842	0.936796254
H	IGLV2-11	0.111327349	0.552417853	0.936796254
H	A1BG	0.040551754	0.556269746	0.936796254
H	APOH	0.066404341	0.556739499	0.936796254
H	AHSG	0.048639936	0.558209165	0.936796254
H	CPN2	-0.057005997	0.562647829	0.936796254
H	ORM1	-0.06666696	0.563535532	0.936796254
H	B2M	-0.061926263	0.566959152	0.936796254
H	CPB2	0.0373955	0.567050152	0.936796254
H	CAPZB	-0.085658094	0.567240116	0.936796254
H	SERPINA5	0.282733714	0.572471164	0.936796254
H	APOE	0.070680772	0.574490294	0.936796254
H	SH3GL3	0.14436896	0.579785144	0.936796254
H	MST1	0.084685036	0.581183398	0.936796254
H	IGHV3-33	-0.109631374	0.589494106	0.936796254
H	SERPINF2	0.028652933	0.590996548	0.936796254
H	F7	0.134436352	0.592129628	0.936796254
H	IGKV1D-33	0.069308602	0.596886151	0.936796254
H	HABP2	0.071796016	0.597555338	0.936796254
H	IGLV1-44	0.094408984	0.598875815	0.936796254
H	IGKV1-39	-0.084975463	0.599358299	0.936796254
H	KRT17	-0.140012928	0.604528966	0.936796254
H	ATRN	-0.038655768	0.609481119	0.936796254
H	IGFALS	-0.066418803	0.612468664	0.936796254
H	APOL1	0.045804287	0.614750606	0.936796254
H	IGHV2-70	0.186115116	0.61476537	0.936796254
H	IGHV3-13	-0.085867231	0.618158007	0.936796254
H	F5	-0.051320479	0.622549524	0.936796254
H	ALB	0.030479558	0.623496845	0.936796254
H	CRISP3	-0.077397977	0.629078681	0.940503771
H	ORM2	0.054242615	0.633221557	0.941683712
H	IGLL5	-0.064564649	0.641880571	0.941683712
H	FGG	-0.039067601	0.648710651	0.941683712
H	CD5L	0.067621589	0.649627806	0.941683712
H	IGKC	-0.046892025	0.663978	0.941683712
H	SERPINC1	-0.02589648	0.666419916	0.941683712
H	AMBP	0.025366457	0.670944955	0.941683712
H	IGHV3-30	-0.093515198	0.673407132	0.941683712
H	PPBP	-0.086106341	0.683003564	0.941683712
H	ZNF10	0.069570014	0.685553294	0.941683712
H	HBA1	-0.054147921	0.689690143	0.941683712
H	LCAT	0.02632857	0.690223692	0.941683712
H	KNG1	0.026834815	0.69033378	0.941683712
H	IGHG4	-0.163259148	0.692130067	0.941683712
H	VWF	-0.099554694	0.697661151	0.941683712
H	C6	0.041599179	0.699556552	0.941683712
H	F12	0.054264239	0.701342368	0.941683712
H	SELENOP	0.041604895	0.708097512	0.941683712
H	ILK	0.034572172	0.71049479	0.941683712
H	SERPINA10	-0.049656335	0.711808526	0.941683712
H	IGHG3	-0.062893497	0.712423091	0.941683712
H	TAGLN2	-0.062445999	0.715194092	0.941683712
H	HGFAC	0.048308064	0.717556625	0.941683712
H	IGHV4-34	-0.057230315	0.717986401	0.941683712
H	SLFN11	-0.04453947	0.72056154	0.941683712
H	APOC3	0.048127236	0.722168106	0.941683712
H	FRMPD1	-0.042724322	0.724582454	0.941683712
H	IGLV7-43	0.05760037	0.72482572	0.941683712
H	LYZ	-0.04109359	0.726047816	0.941683712
H	IGHV3-7	-0.046577881	0.728988969	0.941683712
H	SERPINA4	0.035221815	0.732398485	0.941683712
H	IGHV3-30	-0.074009581	0.733939366	0.941683712
H	CFHR4	-0.075093848	0.734525156	0.941683712
H	C1R	0.024291153	0.738641687	0.941683712
H	IGKV3-20	0.075194131	0.741819097	0.941683712
H	AGT	0.033654765	0.742121601	0.941683712
H	C7	-0.038600778	0.74827896	0.945524042
H	GC	0.019074583	0.759679539	0.949946055
H	GAPDH	-0.071161332	0.760958726	0.949946055
H	CTTNBP2	0.075230888	0.762322175	0.949946055
H	TLN1	0.061260885	0.767322141	0.949946055
H	CA1	-0.051768845	0.76860807	0.949946055
H	IGKV1D-33	0.061672656	0.770651601	0.949946055
H	GP5	0.047797304	0.773840968	0.949999888
H	MYH9	0.053493593	0.790113025	0.953598952
H	IGHG1	-0.02926296	0.79389783	0.953598952
H	CFHR1	-0.057049255	0.795176051	0.953598952
H	MYH7	-0.049792906	0.796038982	0.953598952
H	IGHV3-48	0.030363018	0.796039046	0.953598952
H	IGKV1D-33	0.038378551	0.803885312	0.953598952
H	IGF2R	-0.048288711	0.809997299	0.953598952
H	IGKV3-20	-0.047057881	0.811104486	0.953598952
H	IGLV3-19	0.029367561	0.813891774	0.953598952
H	C8A	-0.022289574	0.816079111	0.953598952
H	FGA	-0.017247139	0.817832824	0.953598952
H	FBLN1	-0.02990596	0.818496386	0.953598952
H	FERMT3	-0.037518508	0.819932671	0.953598952
H	SERPINA1	0.014186525	0.822899474	0.953598952
H	TTN	-0.031406757	0.824136842	0.953598952
H	IGKV3-11	-0.033517817	0.830317575	0.957083617
H	FBLN1	0.015529184	0.83985667	0.961921745
H	ACAA2	-0.027987361	0.840885234	0.961921745
H	TFRC	-0.023556328	0.846056601	0.964185258
H	INPP5E	0.024203689	0.85237626	0.967735453
H	FGB	-0.013064137	0.857651066	0.970077236
H	C2	-0.008830507	0.874584234	0.980113138
H	LYVE1	-0.024185882	0.874587915	0.980113138
H	TTR	0.023483749	0.87626009	0.980113138
H	FAM3C	0.017709223	0.888053827	0.985210404
H	VASN	-0.015903531	0.889256437	0.985210404
H	ENO1	-0.018578697	0.890604107	0.985210404
H	PI16	-0.018217566	0.90936189	0.994011012
H	RYR2	0.014848717	0.90940251	0.994011012
H	GP1BA	-0.013479485	0.912108025	0.994011012
H	ITIH1	-0.006161604	0.916196109	0.994011012
H	FAM161B	0.010389268	0.918120937	0.994011012
H	CETP	-0.011775359	0.921006628	0.994011012
H	GPLD1	0.011396035	0.923402763	0.994011012
H	F9	0.010371605	0.925009359	0.994011012
H	PF4	0.020961372	0.928964383	0.994011012
H	PTPRC	-0.013376605	0.931473896	0.994011012
H	IGLV3-25	0.012012656	0.939433193	0.998617174
H	IGKV2-30	0.014898526	0.94266503	0.998617174
H	IGHM	0.020717266	0.947470236	0.998617174
H	AFG3L2	-0.008177282	0.950676553	0.998617174
H	IGKV3-20	0.007120908	0.96072472	0.998617174
H	LCP1	-0.010893492	0.960810652	0.998617174
H	IGLV3-21	0.013467287	0.967916961	0.998617174
H	TGFBI	-0.007255293	0.969931039	0.998617174
H	LBP	0.004031144	0.973098706	0.998617174
H	IGHG2	0.005491798	0.977014044	0.998617174
H	CD14	-0.005032878	0.977069574	0.998617174
H	MAP4	-0.003443948	0.977808609	0.998617174
H	APOC1	-0.003045153	0.983036978	0.998617174
H	CFB	-0.001076272	0.987741742	0.998617174
H	GPX3	0.001347534	0.989146149	0.998617174
H	ARHGAP19	-0.001644391	0.990295026	0.998617174
H	HBD	-0.000963091	0.994623874	0.998617174
H	CLEC3B	-0.00044797	0.996873774	0.998617174
H	RBP4	0.000177183	0.998617174	0.998617174
